"REF_DATE","GEO","DGUID","Variable","Product category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","Total discarded plastic in products","Electrical and electronic equipment","Tonnes","287","units","0","v1331406700","1.5.3","399936","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Electronics","Tonnes","287","units","0","v1331406701","1.5.4","96527","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Major appliances","Tonnes","287","units","0","v1331406702","1.5.5","24319","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Other electrical and electronic equipment","Tonnes","287","units","0","v1331406703","1.5.6","279090","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Packaging","Tonnes","287","units","0","v1331406704","1.5.7","1869092","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Bottles","Tonnes","287","units","0","v1331406705","1.5.8","346847","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Film","Tonnes","287","units","0","v1331406706","1.5.9","884420","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Non-bottle rigid","Tonnes","287","units","0","v1331406707","1.5.10","551685","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Other packaging products","Tonnes","287","units","0","v1331406708","1.5.11","86140","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Agriculture film","Tonnes","287","units","0","v1331406709","1.5.12","38739","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Textiles","Tonnes","287","units","0","v1331406710","1.5.13","264581","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Vehicles","Tonnes","287","units","0","v1331406711","1.5.14","476777","","","","0"
"2012","Canada","2021A000011124","Total discarded plastic in products","Other products","Tonnes","287","units","0","v1331406712","1.5.15","1113323","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Total, all product categories","Tonnes","287","units","0","v1331406713","1.6.1","36394","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Construction materials","Tonnes","287","units","0","v1331406714","1.6.2","1382","","","","0"
"2012","Canada","2021A000011124","Plastic leaked permanently into the environment","Electrical and electronic equipment","Tonnes","287","units","0","v1331406715","1.6.3","3620","","","","0"
